fecha,año,mes,ciudad,zona,precipitacion_mm,temp_max,temp_min,humedad,viento_10m,presion,temp_media,rango_termico,indice_calor_aprox,evento_lluvia,humedad_alta,estacion,condicion_climatica
1981-06-26,1981,junio,Envigado,mixta,5.57,22.01,13.67,88.62,0.99,81.58,17.84,8.340000000000002,42.3916,True,True,seca_principal,lluvioso
1981-06-27,1981,junio,Medellín,urbana,13.89,21.35,14.95,90.87,0.85,81.57,18.15,6.400000000000002,43.5421,True,True,seca_principal,lluvioso
1981-06-28,1981,junio,Sabaneta,suburbana,18.58,20.78,14.6,90.31,0.68,81.58,17.69,6.180000000000001,43.0163,True,True,seca_principal,lluvioso
1981-06-29,1981,junio,Itagüí,urbana,12.78,18.5,14.41,95.32,0.58,81.59,16.455,4.09,43.5046,True,True,seca_principal,lluvioso
1981-06-30,1981,junio,Sabaneta,suburbana,10.17,18.28,14.01,94.51,0.53,81.61,16.145,4.270000000000001,42.9623,True,True,seca_principal,lluvioso
1981-07-01,1981,julio,Medellín,urbana,14.23,19.69,14.23,92.54,0.33,81.58,16.96,5.460000000000001,43.2672,True,True,seca_principal,lluvioso
1981-07-02,1981,julio,Itagüí,urbana,11.11,20.1,14.71,93.39,0.48,81.54,17.405,5.390000000000001,43.88770000000001,True,True,seca_principal,lluvioso
1981-07-03,1981,julio,Envigado,mixta,12.58,19.09,13.89,91.7,0.83,81.62,16.49,5.199999999999999,42.17,True,True,seca_principal,lluvioso
1981-07-04,1981,julio,Itagüí,urbana,8.61,20.37,13.73,90.72,0.72,81.73,17.05,6.640000000000001,42.4836,True,True,seca_principal,lluvioso
1981-07-05,1981,julio,Itagüí,urbana,8.92,20.34,14.16,92.75,0.67,81.77,17.25,6.18,43.3885,True,True,seca_principal,lluvioso
1981-07-06,1981,julio,Medellín,urbana,4.34,20.11,14.2,91.93,0.66,81.71,17.155,5.91,43.0299,True,True,seca_principal,lluvioso
1981-07-07,1981,julio,Bello,montañosa,11.15,19.55,13.99,89.83,0.71,81.71,16.77,5.56,41.9169,True,True,seca_principal,lluvioso
1981-07-08,1981,julio,Bello,montañosa,14.72,21.68,14.98,90.64,0.88,81.64,18.33,6.699999999999999,43.6252,True,True,seca_principal,lluvioso
1981-07-09,1981,julio,Bello,montañosa,24.4,18.4,15.12,96.1,0.84,81.59,16.76,3.279999999999999,43.885,True,True,seca_principal,lluvioso
1981-07-10,1981,julio,Envigado,mixta,10.02,19.91,14.68,91.89,0.58,81.55,17.295,5.23,43.21270000000001,True,True,seca_principal,lluvioso
1981-07-11,1981,julio,Envigado,mixta,8.23,20.87,14.44,90.85,0.72,81.59,17.655,6.430000000000001,43.1315,True,True,seca_principal,lluvioso
1981-07-12,1981,julio,Envigado,mixta,7.61,18.14,13.91,93.59,0.73,81.6,16.025,4.23,42.3987,True,True,seca_principal,lluvioso
1981-07-13,1981,julio,Bello,montañosa,13.8,18.82,13.08,92.42,0.84,81.63,15.95,5.74,41.8606,True,True,seca_principal,lluvioso
1981-07-14,1981,julio,Sabaneta,suburbana,10.56,21.66,12.89,88.97,0.92,81.64,17.275,8.77,41.9911,True,True,seca_principal,lluvioso
1981-07-15,1981,julio,Medellín,urbana,15.64,21.86,13.63,89.39,0.76,81.62,17.745,8.229999999999999,42.71170000000001,True,True,seca_principal,lluvioso
1981-07-16,1981,julio,Bello,montañosa,17.18,19.93,15.13,93.44,0.56,81.6,17.53,4.799999999999999,43.9732,True,True,seca_principal,lluvioso
1981-07-17,1981,julio,Medellín,urbana,14.38,17.14,14.09,96.62,0.6,81.58,15.615,3.050000000000001,43.0796,True,True,seca_principal,lluvioso
1981-07-18,1981,julio,Bello,montañosa,3.04,20.49,14.11,89.71,0.8,81.65,17.3,6.379999999999999,42.34429999999999,True,True,seca_principal,lluvioso
1981-07-19,1981,julio,Sabaneta,suburbana,7.58,20.99,13.7,88.58,0.73,81.69,17.345,7.289999999999999,42.0654,True,True,seca_principal,lluvioso
1981-07-20,1981,julio,Bello,montañosa,4.56,21.72,13.51,88.97,0.7,81.65,17.615,8.209999999999999,42.4851,True,True,seca_principal,lluvioso
1981-07-21,1981,julio,Sabaneta,suburbana,0.7,22.45,13.67,85.51,0.57,81.64,18.06,8.78,41.8793,True,True,seca_principal,lluvioso
1981-07-22,1981,julio,Itagüí,urbana,4.58,21.43,14.33,86.22,0.79,81.72,17.88,7.1,41.7796,True,True,seca_principal,lluvioso
1981-07-23,1981,julio,Envigado,mixta,1.78,22.57,13.01,85.62,0.86,81.71,17.79,9.56,41.44260000000001,True,True,seca_principal,lluvioso
1981-07-24,1981,julio,Itagüí,urbana,0.56,22.15,13.65,84.31,1.07,81.72,17.9,8.499999999999998,40.9733,True,False,seca_principal,lluvioso
1981-07-25,1981,julio,Bello,montañosa,1.88,22.33,13.09,82.9,1.16,81.7,17.71,9.239999999999998,40.25500000000001,True,False,seca_principal,lluvioso
1981-07-26,1981,julio,Envigado,mixta,4.7,21.97,13.27,85.62,1.04,81.74,17.62,8.7,41.1466,True,True,seca_principal,lluvioso
1981-07-27,1981,julio,Sabaneta,suburbana,4.82,22.41,13.35,84.85,1.08,81.71,17.88,9.06,41.1245,True,False,seca_principal,lluvioso
1981-07-28,1981,julio,Bello,montañosa,5.16,22.3,13.48,86.9,0.83,81.61,17.89,8.82,41.986,True,True,seca_principal,lluvioso
1981-07-29,1981,julio,Envigado,mixta,0.79,21.02,15.16,89.2,0.7,81.5,18.09,5.859999999999999,43.036,True,True,seca_principal,lluvioso
